gamma,delta,iteration,fitness
0.1,0.1,1,0.5083519980968345
0.1,0.1,2,0.5085930492975594
0.1,0.1,3,0.5085930492975594
0.1,0.1,4,0.5086060533754933
0.1,0.1,5,0.5086060533754933
0.1,0.1,6,0.5086060533754933
0.1,0.1,7,0.5086104484819727
0.1,0.1,8,0.5086390393292768
0.1,0.1,9,0.5086390393292768
0.1,0.1,10,0.5086390393292768
0.1,0.1,11,0.5086390393292768
0.1,0.1,12,0.5086679926595894
0.1,0.1,13,0.5086679926595894
0.1,0.1,14,0.5086679926595894
0.1,0.1,15,0.5086679926595894
0.1,0.1,16,0.5086679926595894
0.1,0.1,17,0.5086679926595894
0.1,0.1,18,0.5086679926595894
0.1,0.1,19,0.5086679926595894
0.1,0.1,20,0.5086679926595894
0.1,0.1,21,0.5086702128680172
0.1,0.1,22,0.5086702128680172
0.1,0.1,23,0.5086723877660688
0.1,0.1,24,0.5086929586768073
0.1,0.1,25,0.5086929586768073
0.1,0.1,26,0.5086929586768073
0.1,0.1,27,0.5086929586768073
0.1,0.1,28,0.5086929586768073
0.1,0.1,29,0.5086929586768073
0.1,0.1,30,0.5086929586768073
0.1,0.1,31,0.5086929586768073
0.1,0.1,32,0.5086929586768073
0.1,0.1,33,0.5086929586768073
0.1,0.1,34,0.5086929586768073
0.1,0.1,35,0.5086929586768073
0.1,0.1,36,0.5086952241956111
0.1,0.1,37,0.5086952241956111
0.1,0.1,38,0.508700480199236
0.1,0.1,39,0.508700480199236
0.1,0.1,40,0.508700480199236
0.1,0.1,41,0.5087030175802962
0.1,0.1,42,0.5087030175802962
0.1,0.1,43,0.5087074126867757
0.1,0.1,44,0.5087074126867757
0.1,0.1,45,0.5087074126867757
0.1,0.1,46,0.5087074126867757
0.1,0.1,47,0.5087246306296845
0.1,0.1,48,0.5087246306296845
0.1,0.1,49,0.5087246306296845
0.1,0.1,50,0.5087246306296845
0.1,0.1,51,0.5087246306296845
0.1,0.1,52,0.5087246306296845
0.1,0.1,53,0.5087246306296845
0.1,0.1,54,0.5087246306296845
0.1,0.1,55,0.5087246306296845
0.1,0.1,56,0.5087246306296845
0.1,0.1,57,0.5087312006342155
0.1,0.1,58,0.5087312006342155
0.1,0.1,59,0.5087312006342155
0.1,0.1,60,0.5087312006342155
0.1,0.1,61,0.5087312006342155
0.1,0.1,62,0.5087312006342155
0.1,0.1,63,0.5087312006342155
0.1,0.1,64,0.5087312006342155
0.1,0.1,65,0.5087312006342155
0.1,0.1,66,0.5087312006342155
0.1,0.1,67,0.5087312006342155
0.1,0.1,68,0.5087312006342155
0.1,0.1,69,0.5087312006342155
0.1,0.1,70,0.5087312006342155
0.1,0.1,71,0.5087312006342155
0.1,0.1,72,0.5087312006342155
0.1,0.1,73,0.5087312006342155
0.1,0.1,74,0.5087312006342155
0.1,0.1,75,0.5087324240143697
0.1,0.1,76,0.5087324240143697
0.1,0.1,77,0.5087324240143697
0.1,0.1,78,0.5087324240143697
0.1,0.1,79,0.508736773810473
0.1,0.1,80,0.508736773810473
0.1,0.1,81,0.5087383596736356
0.1,0.1,82,0.5087383596736356
0.1,0.1,83,0.5087383596736356
0.1,0.1,84,0.5087383596736356
0.1,0.1,85,0.5087383596736356
0.1,0.1,86,0.5087478295422355
0.1,0.1,87,0.5087478295422355
0.1,0.1,88,0.5087478295422355
0.1,0.1,89,0.5087478295422355
0.1,0.1,90,0.5087478295422355
0.1,0.1,91,0.5087478295422355
0.1,0.1,92,0.5087478295422355
0.1,0.1,93,0.5087478295422355
0.1,0.1,94,0.5087478295422355
0.1,0.1,95,0.5087478295422355
0.1,0.1,96,0.5087478295422355
0.1,0.1,97,0.5087478295422355
0.1,0.1,98,0.5087478295422355
0.1,0.1,99,0.5087487357497571
0.1,0.1,100,0.5087487357497571
0.1,0.3,1,0.41145307408031184
0.1,0.3,2,0.41178270872171924
0.1,0.3,3,0.41178270872171924
0.1,0.3,4,0.41185253280832274
0.1,0.3,5,0.41195794552821446
0.1,0.3,6,0.41195794552821446
0.1,0.3,7,0.41195794552821446
0.1,0.3,8,0.41195794552821446
0.1,0.3,9,0.4120085544592023
0.1,0.3,10,0.41200936636718605
0.1,0.3,11,0.41208311467571107
0.1,0.3,12,0.41208311467571107
0.1,0.3,13,0.4121076072332212
0.1,0.3,14,0.4121476613604201
0.1,0.3,15,0.4121476613604201
0.1,0.3,16,0.4121909631195541
0.1,0.3,17,0.41221261399912107
0.1,0.3,18,0.41221261399912107
0.1,0.3,19,0.4122197858529777
0.1,0.3,20,0.4122197858529777
0.1,0.3,21,0.4122431958665095
0.1,0.3,22,0.4122431958665095
0.1,0.3,23,0.4122584868002036
0.1,0.3,24,0.4122584868002036
0.1,0.3,25,0.4122713420099465
0.1,0.3,26,0.4122713420099465
0.1,0.3,27,0.41229407543349184
0.1,0.3,28,0.41229407543349184
0.1,0.3,29,0.41229407543349184
0.1,0.3,30,0.41229407543349184
0.1,0.3,31,0.41229407543349184
0.1,0.3,32,0.41229407543349184
0.1,0.3,33,0.41229407543349184
0.1,0.3,34,0.41229407543349184
0.1,0.3,35,0.41229407543349184
0.1,0.3,36,0.41229407543349184
0.1,0.3,37,0.41229407543349184
0.1,0.3,38,0.41229407543349184
0.1,0.3,39,0.41229407543349184
0.1,0.3,40,0.4122948873414756
0.1,0.3,41,0.4122948873414756
0.1,0.3,42,0.4122948873414756
0.1,0.3,43,0.41229989410737544
0.1,0.3,44,0.41229989410737544
0.1,0.3,45,0.41230463023728076
0.1,0.3,46,0.41230463023728076
0.1,0.3,47,0.41231058422916167
0.1,0.3,48,0.41231937989898576
0.1,0.3,49,0.41231937989898576
0.1,0.3,50,0.41231937989898576
0.1,0.3,51,0.41231937989898576
0.1,0.3,52,0.41231937989898576
0.1,0.3,53,0.41231937989898576
0.1,0.3,54,0.41231937989898576
0.1,0.3,55,0.41231937989898576
0.1,0.3,56,0.41231937989898576
0.1,0.3,57,0.4123342648786881
0.1,0.3,58,0.4123342648786881
0.1,0.3,59,0.4123342648786881
0.1,0.3,60,0.4123342648786881
0.1,0.3,61,0.4123342648786881
0.1,0.3,62,0.4123342648786881
0.1,0.3,63,0.4123342648786881
0.1,0.3,64,0.4123342648786881
0.1,0.3,65,0.4123342648786881
0.1,0.3,66,0.4123342648786881
0.1,0.3,67,0.4123342648786881
0.1,0.3,68,0.4123342648786881
0.1,0.3,69,0.41234509031847155
0.1,0.3,70,0.41234509031847155
0.1,0.3,71,0.41234509031847155
0.1,0.3,72,0.41234509031847155
0.1,0.3,73,0.41234509031847155
0.1,0.3,74,0.41234509031847155
0.1,0.3,75,0.41234509031847155
0.1,0.3,76,0.41234509031847155
0.1,0.3,77,0.41234509031847155
0.1,0.3,78,0.41234509031847155
0.1,0.3,79,0.41234509031847155
0.1,0.3,80,0.41234509031847155
0.1,0.3,81,0.41234509031847155
0.1,0.3,82,0.4123540213062929
0.1,0.3,83,0.4123540213062929
0.1,0.3,84,0.4123540213062929
0.1,0.3,85,0.4123540213062929
0.1,0.3,86,0.4123540213062929
0.1,0.3,87,0.4123540213062929
0.1,0.3,88,0.4123540213062929
0.1,0.3,89,0.4123634935661035
0.1,0.3,90,0.4123634935661035
0.1,0.3,91,0.4123634935661035
0.1,0.3,92,0.41238094958775434
0.1,0.3,93,0.41238094958775434
0.1,0.3,94,0.412389068667592
0.1,0.3,95,0.412389068667592
0.1,0.3,96,0.41240260046732136
0.1,0.3,97,0.41240260046732136
0.1,0.3,98,0.41240260046732136
0.1,0.3,99,0.41240260046732136
0.1,0.3,100,0.41240260046732136
0.1,0.5,1,0.3160267149069841
0.1,0.5,2,0.31619187122778153
0.1,0.5,3,0.31619187122778153
0.1,0.5,4,0.31627320335283815
0.1,0.5,5,0.31627320335283815
0.1,0.5,6,0.31628181232429264
0.1,0.5,7,0.31628181232429264
0.1,0.5,8,0.31633391925678017
0.1,0.5,9,0.31633391925678017
0.1,0.5,10,0.31633391925678017
0.1,0.5,11,0.31633391925678017
0.1,0.5,12,0.31633391925678017
0.1,0.5,13,0.3163713003170429
0.1,0.5,14,0.3164188762119229
0.1,0.5,15,0.3164188762119229
0.1,0.5,16,0.3164188762119229
0.1,0.5,17,0.3164757407338984
0.1,0.5,18,0.3164757407338984
0.1,0.5,19,0.31649024005424276
0.1,0.5,20,0.3165466514724576
0.1,0.5,21,0.3165466514724576
0.1,0.5,22,0.3165600180334
0.1,0.5,23,0.31656636148605066
0.1,0.5,24,0.31660578151323693
0.1,0.5,25,0.31660578151323693
0.1,0.5,26,0.31660578151323693
0.1,0.5,27,0.31666060706828897
0.1,0.5,28,0.31666060706828897
0.1,0.5,29,0.31666060706828897
0.1,0.5,30,0.31667714535555685
0.1,0.5,31,0.31667714535555685
0.1,0.5,32,0.31672086986847026
0.1,0.5,33,0.31672086986847026
0.1,0.5,34,0.3167331036700108
0.1,0.5,35,0.3167331036700108
0.1,0.5,36,0.3167331036700108
0.1,0.5,37,0.3167331036700108
0.1,0.5,38,0.3167331036700108
0.1,0.5,39,0.3167487357497571
0.1,0.5,40,0.3167487357497571
0.1,0.5,41,0.3167487357497571
0.1,0.5,42,0.3167856637062591
0.1,0.5,43,0.3167856637062591
0.1,0.5,44,0.3167856637062591
0.1,0.5,45,0.3167856637062591
0.1,0.5,46,0.3167856637062591
0.1,0.5,47,0.3167856637062591
0.1,0.5,48,0.3167856637062591
0.1,0.5,49,0.3167856637062591
0.1,0.5,50,0.3167856637062591
0.1,0.5,51,0.3167856637062591
0.1,0.5,52,0.3167856637062591
0.1,0.5,53,0.3167856637062591
0.1,0.5,54,0.3167856637062591
0.1,0.5,55,0.31681874028079465
0.1,0.5,56,0.31681874028079465
0.1,0.5,57,0.31681874028079465
0.1,0.5,58,0.31681874028079465
0.1,0.5,59,0.31681874028079465
0.1,0.5,60,0.31681874028079465
0.1,0.5,61,0.31684819202524417
0.1,0.5,62,0.31684819202524417
0.1,0.5,63,0.31684819202524417
0.1,0.5,64,0.31684819202524417
0.1,0.5,65,0.31684819202524417
0.1,0.5,66,0.31684819202524417
0.1,0.5,67,0.31684819202524417
0.1,0.5,68,0.31684819202524417
0.1,0.5,69,0.31684819202524417
0.1,0.5,70,0.31684819202524417
0.1,0.5,71,0.31684819202524417
0.1,0.5,72,0.31684819202524417
0.1,0.5,73,0.31684819202524417
0.1,0.5,74,0.31684819202524417
0.1,0.5,75,0.31684819202524417
0.1,0.5,76,0.31684819202524417
0.1,0.5,77,0.31684819202524417
0.1,0.5,78,0.31684819202524417
0.1,0.5,79,0.31684819202524417
0.1,0.5,80,0.31684819202524417
0.1,0.5,81,0.31684819202524417
0.1,0.5,82,0.31684819202524417
0.1,0.5,83,0.31684819202524417
0.1,0.5,84,0.3168654099681531
0.1,0.5,85,0.3168654099681531
0.1,0.5,86,0.31687492514712906
0.1,0.5,87,0.31687492514712906
0.1,0.5,88,0.31690709551414314
0.1,0.5,89,0.31690709551414314
0.1,0.5,90,0.31690709551414314
0.1,0.5,91,0.3169422110556021
0.1,0.5,92,0.3169422110556021
0.1,0.5,93,0.3169422110556021
0.1,0.5,94,0.3169422110556021
0.1,0.5,95,0.3169422110556021
0.1,0.5,96,0.3169422110556021
0.1,0.5,97,0.3169422110556021
0.1,0.5,98,0.3169422110556021
0.1,0.5,99,0.3169422110556021
0.1,0.5,100,0.3169422110556021
0.3,0.1,1,0.609805455890011
0.3,0.1,2,0.6098459353870148
0.3,0.1,3,0.6098459353870148
0.3,0.1,4,0.6098459353870148
0.3,0.1,5,0.6098887536924067
0.3,0.1,6,0.6100274487535757
0.3,0.1,7,0.6100337015854742
0.3,0.1,8,0.6100598909828462
0.3,0.1,9,0.6100598909828462
0.3,0.1,10,0.6100598909828462
0.3,0.1,11,0.6100608425007438
0.3,0.1,12,0.6100608425007438
0.3,0.1,13,0.6100608425007438
0.3,0.1,14,0.6100608425007438
0.3,0.1,15,0.6100608425007438
0.3,0.1,16,0.6100608425007438
0.3,0.1,17,0.6100608425007438
0.3,0.1,18,0.6100608425007438
0.3,0.1,19,0.6100608425007438
0.3,0.1,20,0.6100608425007438
0.3,0.1,21,0.6100634705025562
0.3,0.1,22,0.6100650563657188
0.3,0.1,23,0.610068137471292
0.3,0.1,24,0.6100682280920441
0.3,0.1,25,0.6100682280920441
0.3,0.1,26,0.6100682280920441
0.3,0.1,27,0.6100682280920441
0.3,0.1,28,0.6100682280920441
0.3,0.1,29,0.6100872131396201
0.3,0.1,30,0.6100984501128869
0.3,0.1,31,0.6100984501128869
0.3,0.1,32,0.6101063794287003
0.3,0.1,33,0.6101063794287003
0.3,0.1,34,0.610111590121949
0.3,0.1,35,0.610111590121949
0.3,0.1,36,0.610111590121949
0.3,0.1,37,0.610111590121949
0.3,0.1,38,0.610111590121949
0.3,0.1,39,0.610111590121949
0.3,0.1,40,0.610111590121949
0.3,0.1,41,0.610111590121949
0.3,0.1,42,0.610111590121949
0.3,0.1,43,0.610111590121949
0.3,0.1,44,0.610111590121949
0.3,0.1,45,0.610111590121949
0.3,0.1,46,0.610111590121949
0.3,0.1,47,0.610111590121949
0.3,0.1,48,0.610111590121949
0.3,0.1,49,0.610111590121949
0.3,0.1,50,0.610111590121949
0.3,0.1,51,0.610111590121949
0.3,0.1,52,0.610111590121949
0.3,0.1,53,0.610111590121949
0.3,0.1,54,0.610111590121949
0.3,0.1,55,0.610111590121949
0.3,0.1,56,0.6101125416398465
0.3,0.1,57,0.6101125416398465
0.3,0.1,58,0.6101125416398465
0.3,0.1,59,0.6101158492973002
0.3,0.1,60,0.6101158492973002
0.3,0.1,61,0.6101158492973002
0.3,0.1,62,0.6101158492973002
0.3,0.1,63,0.6101158492973002
0.3,0.1,64,0.6101158492973002
0.3,0.1,65,0.6101241864064982
0.3,0.1,66,0.6101241864064982
0.3,0.1,67,0.6101241864064982
0.3,0.1,68,0.6101241864064982
0.3,0.1,69,0.610125228545148
0.3,0.1,70,0.6101260441319173
0.3,0.1,71,0.6101260441319173
0.3,0.1,72,0.6101260441319173
0.3,0.1,73,0.6101260441319173
0.3,0.1,74,0.6101260441319173
0.3,0.1,75,0.6101283549610972
0.3,0.1,76,0.6101283549610972
0.3,0.1,77,0.6101327047572006
0.3,0.1,78,0.610134199999611
0.3,0.1,79,0.610134199999611
0.3,0.1,80,0.610134199999611
0.3,0.1,81,0.610134199999611
0.3,0.1,82,0.610134199999611
0.3,0.1,83,0.610134199999611
0.3,0.1,84,0.610134199999611
0.3,0.1,85,0.6101366467599191
0.3,0.1,86,0.6101366467599191
0.3,0.1,87,0.6101366467599191
0.3,0.1,88,0.6101366467599191
0.3,0.1,89,0.6101401809692532
0.3,0.1,90,0.6101401809692532
0.3,0.1,91,0.6101416762116635
0.3,0.1,92,0.6101430355229459
0.3,0.1,93,0.6101430355229459
0.3,0.1,94,0.6101430355229459
0.3,0.1,95,0.6101430355229459
0.3,0.1,96,0.6101430355229459
0.3,0.1,97,0.6101430355229459
0.3,0.1,98,0.6101430355229459
0.3,0.1,99,0.6101430355229459
0.3,0.1,100,0.6101430355229459
0.3,0.3,1,0.5130274225115716
0.3,0.3,2,0.5133017124599645
0.3,0.3,3,0.5133293169635338
0.3,0.3,4,0.5133823196190038
0.3,0.3,5,0.5138245035791308
0.3,0.3,6,0.5140626549157868
0.3,0.3,7,0.5140626549157868
0.3,0.3,8,0.5140804618935847
0.3,0.3,9,0.5140804618935847
0.3,0.3,10,0.5140839961029188
0.3,0.3,11,0.5140839961029188
0.3,0.3,12,0.5140928316262536
0.3,0.3,13,0.5140928316262536
