gamma,delta,iteration,fitness
0.3,0.3,14,0.5141053372900506
0.3,0.3,15,0.5141053372900506
0.3,0.3,16,0.5141053372900506
0.3,0.3,17,0.5141053372900506
0.3,0.3,18,0.5141053372900506
0.3,0.3,19,0.5141053372900506
0.3,0.3,20,0.5141053372900506
0.3,0.3,21,0.5141053372900506
0.3,0.3,22,0.5141326594468244
0.3,0.3,23,0.5141326594468244
0.3,0.3,24,0.5141881193471417
0.3,0.3,25,0.5141881193471417
0.3,0.3,26,0.5142204709556599
0.3,0.3,27,0.5142204709556599
0.3,0.3,28,0.5142204709556599
0.3,0.3,29,0.5142204709556599
0.3,0.3,30,0.5142204709556599
0.3,0.3,31,0.5142204709556599
0.3,0.3,32,0.5142261800630457
0.3,0.3,33,0.5142261800630457
0.3,0.3,34,0.5142287627544819
0.3,0.3,35,0.5142287627544819
0.3,0.3,36,0.5142287627544819
0.3,0.3,37,0.5142287627544819
0.3,0.3,38,0.5142287627544819
0.3,0.3,39,0.5142287627544819
0.3,0.3,40,0.5142287627544819
0.3,0.3,41,0.5142287627544819
0.3,0.3,42,0.5142287627544819
0.3,0.3,43,0.5142287627544819
0.3,0.3,44,0.5142287627544819
0.3,0.3,45,0.5142287627544819
0.3,0.3,46,0.5142287627544819
0.3,0.3,47,0.5142287627544819
0.3,0.3,48,0.5142287627544819
0.3,0.3,49,0.5142287627544819
0.3,0.3,50,0.5142287627544819
0.3,0.3,51,0.5142287627544819
0.3,0.3,52,0.5142287627544819
0.3,0.3,53,0.5142287627544819
0.3,0.3,54,0.5142287627544819
0.3,0.3,55,0.5142287627544819
0.3,0.3,56,0.5142287627544819
0.3,0.3,57,0.5142287627544819
0.3,0.3,58,0.5142287627544819
0.3,0.3,59,0.5142287627544819
0.3,0.3,60,0.5142287627544819
0.3,0.3,61,0.5142287627544819
0.3,0.3,62,0.5142287627544819
0.3,0.3,63,0.5142287627544819
0.3,0.3,64,0.5142358311731497
0.3,0.3,65,0.5142358311731497
0.3,0.3,66,0.5142358311731497
0.3,0.3,67,0.5142358311731497
0.3,0.3,68,0.5142456182143822
0.3,0.3,69,0.5142456182143822
0.3,0.3,70,0.5142457541455104
0.3,0.3,71,0.5142457541455105
0.3,0.3,72,0.5142457541455105
0.3,0.3,73,0.5142529584953065
0.3,0.3,74,0.514259755051718
0.3,0.3,75,0.5142747074758232
0.3,0.3,76,0.5142747074758232
0.3,0.3,77,0.5142747074758232
0.3,0.3,78,0.5142747074758232
0.3,0.3,79,0.5142747074758232
0.3,0.3,80,0.5142747074758232
0.3,0.3,81,0.5142747074758232
0.3,0.3,82,0.5143065153598286
0.3,0.3,83,0.5143065153598286
0.3,0.3,84,0.5143065153598286
0.3,0.3,85,0.5143065153598286
0.3,0.3,86,0.5143065153598286
0.3,0.3,87,0.5143065153598286
0.3,0.3,88,0.5143065153598286
0.3,0.3,89,0.5143065153598286
0.3,0.3,90,0.5143065153598286
0.3,0.3,91,0.5143065153598286
0.3,0.3,92,0.5143065153598286
0.3,0.3,93,0.5143065153598286
0.3,0.3,94,0.5143065153598286
0.3,0.3,95,0.5143065153598286
0.3,0.3,96,0.5143065153598286
0.3,0.3,97,0.5143065153598286
0.3,0.3,98,0.5143065153598286
0.3,0.3,99,0.5143065153598286
0.3,0.3,100,0.5143065153598286
0.3,0.5,1,0.4167784682370374
0.3,0.5,2,0.41683442655149144
0.3,0.5,3,0.41714253710880905
0.3,0.5,4,0.4179959777378829
0.3,0.5,5,0.4179959777378829
0.3,0.5,6,0.4181093141056571
0.3,0.5,7,0.4181093141056571
0.3,0.5,8,0.4181907888439366
0.3,0.5,9,0.4181907888439366
0.3,0.5,10,0.4181907888439366
0.3,0.5,11,0.4181907888439366
0.3,0.5,12,0.419050142508024
0.3,0.5,13,0.419050142508024
0.3,0.5,14,0.419050142508024
0.3,0.5,15,0.419050142508024
0.3,0.5,16,0.419050142508024
0.3,0.5,17,0.419050142508024
0.3,0.5,18,0.419050142508024
0.3,0.5,19,0.419050142508024
0.3,0.5,20,0.419050142508024
0.3,0.5,21,0.419050142508024
0.3,0.5,22,0.4191450446473048
0.3,0.5,23,0.4191450446473048
0.3,0.5,24,0.4191450446473048
0.3,0.5,25,0.4191450446473048
0.3,0.5,26,0.4191450446473048
0.3,0.5,27,0.4191450446473048
0.3,0.5,28,0.41916052029591655
0.3,0.5,29,0.41916052029591655
0.3,0.5,30,0.41916347887579825
0.3,0.5,31,0.41916347887579825
0.3,0.5,32,0.4191944301730217
0.3,0.5,33,0.4191944301730217
0.3,0.5,34,0.4191944301730217
0.3,0.5,35,0.4191944301730217
0.3,0.5,36,0.4191944301730217
0.3,0.5,37,0.4192194643104819
0.3,0.5,38,0.4192433605326029
0.3,0.5,39,0.4192433605326029
0.3,0.5,40,0.4192433605326029
0.3,0.5,41,0.4192433605326029
0.3,0.5,42,0.4192433605326029
0.3,0.5,43,0.4192433605326029
0.3,0.5,44,0.4192433605326029
0.3,0.5,45,0.4192433605326029
0.3,0.5,46,0.4192433605326029
0.3,0.5,47,0.4192433605326029
0.3,0.5,48,0.4192433605326029
0.3,0.5,49,0.4192433605326029
0.3,0.5,50,0.4192433605326029
0.3,0.5,51,0.4192433605326029
0.3,0.5,52,0.4192433605326029
0.3,0.5,53,0.4192433605326029
0.3,0.5,54,0.4192433605326029
0.3,0.5,55,0.41931891811111915
0.3,0.5,56,0.41931891811111915
0.3,0.5,57,0.41931891811111915
0.3,0.5,58,0.4193214215248652
0.3,0.5,59,0.4193214215248652
0.3,0.5,60,0.4193214215248652
0.3,0.5,61,0.41934099366869765
0.3,0.5,62,0.41934099366869765
0.3,0.5,63,0.41934099366869765
0.3,0.5,64,0.41934099366869765
0.3,0.5,65,0.4193769517934131
0.3,0.5,66,0.4193769517934131
0.3,0.5,67,0.4193776345426166
0.3,0.5,68,0.4193776345426166
0.3,0.5,69,0.4193878757806685
0.3,0.5,70,0.4193878757806685
0.3,0.5,71,0.4193878757806685
0.3,0.5,72,0.4193878757806685
0.3,0.5,73,0.4193878757806685
0.3,0.5,74,0.4193878757806685
0.3,0.5,75,0.4193878757806685
0.3,0.5,76,0.4193878757806685
0.3,0.5,77,0.4193878757806685
0.3,0.5,78,0.4193878757806685
0.3,0.5,79,0.4193878757806685
0.3,0.5,80,0.41939652393724564
0.3,0.5,81,0.41939652393724564
0.3,0.5,82,0.41939652393724564
0.3,0.5,83,0.41939652393724564
0.3,0.5,84,0.41939652393724564
0.3,0.5,85,0.41939652393724564
0.3,0.5,86,0.41939652393724564
0.3,0.5,87,0.41939652393724564
0.3,0.5,88,0.41939652393724564
0.3,0.5,89,0.41939652393724564
0.3,0.5,90,0.41939652393724564
0.3,0.5,91,0.41939652393724564
0.3,0.5,92,0.41939652393724564
0.3,0.5,93,0.41939652393724564
0.3,0.5,94,0.41939652393724564
0.3,0.5,95,0.41939652393724564
0.3,0.5,96,0.41939652393724564
0.3,0.5,97,0.41939652393724564
0.3,0.5,98,0.41939652393724564
0.3,0.5,99,0.41939652393724564
0.3,0.5,100,0.41939652393724564
0.5,0.1,1,0.7112858173985362
0.5,0.1,2,0.7114973262340595
0.5,0.1,3,0.7115053008602489
0.5,0.1,4,0.7115053008602489
0.5,0.1,5,0.7115499768910599
0.5,0.1,6,0.7115499768910599
0.5,0.1,7,0.7115528767551289
0.5,0.1,8,0.7115774349789621
0.5,0.1,9,0.7115940185766059
0.5,0.1,10,0.7116319433613817
0.5,0.1,11,0.7116319433613817
0.5,0.1,12,0.7116319433613817
0.5,0.1,13,0.7116670589028407
0.5,0.1,14,0.7116670589028407
0.5,0.1,15,0.7116802895326549
0.5,0.1,16,0.7116874485720748
0.5,0.1,17,0.7117060711366422
0.5,0.1,18,0.7117136379694469
0.5,0.1,19,0.7117136379694469
0.5,0.1,20,0.7117136379694469
0.5,0.1,21,0.7117218844578928
0.5,0.1,22,0.7117218844578928
0.5,0.1,23,0.7117218844578928
0.5,0.1,24,0.7117284544624237
0.5,0.1,25,0.7117350244669548
0.5,0.1,26,0.7117350244669548
0.5,0.1,27,0.7117364290886131
0.5,0.1,28,0.7117419116441185
0.5,0.1,29,0.7117516080645987
0.5,0.1,30,0.7117516080645987
0.5,0.1,31,0.7117516080645987
0.5,0.1,32,0.7117532845485134
0.5,0.1,33,0.7117532845485134
0.5,0.1,34,0.7117532845485134
0.5,0.1,35,0.7117574531031126
0.5,0.1,36,0.7117628450378657
0.5,0.1,37,0.7117628450378657
0.5,0.1,38,0.7117628450378657
0.5,0.1,39,0.7117628450378657
0.5,0.1,40,0.7117628450378657
0.5,0.1,41,0.7117628450378657
0.5,0.1,42,0.7117628450378657
0.5,0.1,43,0.7117628450378657
0.5,0.1,44,0.7117628450378657
0.5,0.1,45,0.7117628450378657
0.5,0.1,46,0.7117628450378657
0.5,0.1,47,0.7117628450378657
0.5,0.1,48,0.7117628450378657
0.5,0.1,49,0.7117628450378657
0.5,0.1,50,0.7117628450378657
0.5,0.1,51,0.7117652011774216
0.5,0.1,52,0.7117652011774216
0.5,0.1,53,0.7117652011774216
0.5,0.1,54,0.7117654277293021
0.5,0.1,55,0.7117654277293021
0.5,0.1,56,0.7117723602168415
0.5,0.1,57,0.7117723602168415
0.5,0.1,58,0.7117723602168415
0.5,0.1,59,0.7117723602168415
0.5,0.1,60,0.7117723602168415
0.5,0.1,61,0.7117795192562617
0.5,0.1,62,0.7117795192562617
0.5,0.1,63,0.7117795192562617
0.5,0.1,64,0.7117795192562617
0.5,0.1,65,0.7117795192562617
0.5,0.1,66,0.7117795192562617
0.5,0.1,67,0.7117885813314767
0.5,0.1,68,0.7117888078833572
0.5,0.1,69,0.7117912546436653
0.5,0.1,70,0.7117912546436653
0.5,0.1,71,0.7117912546436653
0.5,0.1,72,0.7118080647931896
0.5,0.1,73,0.7118080647931896
0.5,0.1,74,0.7118080647931896
0.5,0.1,75,0.7118080647931896
0.5,0.1,76,0.7118080647931896
0.5,0.1,77,0.7118080647931896
0.5,0.1,78,0.7118080647931896
0.5,0.1,79,0.7118137739005751
0.5,0.1,80,0.7118137739005751
0.5,0.1,81,0.7118137739005751
0.5,0.1,82,0.7118149972807292
0.5,0.1,83,0.7118149972807292
0.5,0.1,84,0.7118199814220976
0.5,0.1,85,0.7118199814220976
0.5,0.1,86,0.7118199814220976
0.5,0.1,87,0.7118199814220976
0.5,0.1,88,0.7118199814220976
0.5,0.1,89,0.7118199814220976
0.5,0.1,90,0.7118199814220976
0.5,0.1,91,0.7118199814220976
0.5,0.1,92,0.7118199814220976
0.5,0.1,93,0.7118199814220976
0.5,0.1,94,0.7118199814220976
0.5,0.1,95,0.7118199814220976
0.5,0.1,96,0.7118199814220976
0.5,0.1,97,0.7118199814220976
0.5,0.1,98,0.7118199814220976
0.5,0.1,99,0.7118199814220976
0.5,0.1,100,0.7118199814220976
0.5,0.3,1,0.6150163112816354
0.5,0.3,2,0.6150611685539508
0.5,0.3,3,0.6150611685539508
0.5,0.3,4,0.6151472129581194
0.5,0.3,5,0.6151472129581194
0.5,0.3,6,0.615254734480548
0.5,0.3,7,0.615254734480548
0.5,0.3,8,0.615254734480548
0.5,0.3,9,0.615355323515437
0.5,0.3,10,0.6153869954683141
0.5,0.3,11,0.6153869954683141
0.5,0.3,12,0.6154038509282144
0.5,0.3,13,0.6154814676024328
0.5,0.3,14,0.6154814676024328
0.5,0.3,15,0.6154814676024328
0.5,0.3,16,0.6154814676024328
0.5,0.3,17,0.6154814676024328
0.5,0.3,18,0.615519664249465
0.5,0.3,19,0.615519664249465
0.5,0.3,20,0.6156077476205569
0.5,0.3,21,0.6156077476205569
0.5,0.3,22,0.6156188939730718
0.5,0.3,23,0.6156188939730718
0.5,0.3,24,0.6156188939730718
0.5,0.3,25,0.6156188939730718
0.5,0.3,26,0.6156188939730718
0.5,0.3,27,0.6156188939730718
0.5,0.3,28,0.615623243769175
0.5,0.3,29,0.6156449927496916
0.5,0.3,30,0.6156449927496916
0.5,0.3,31,0.615676800633697
0.5,0.3,32,0.615676800633697
0.5,0.3,33,0.615676800633697
0.5,0.3,34,0.615676800633697
0.5,0.3,35,0.615676800633697
0.5,0.3,36,0.615676800633697
0.5,0.3,37,0.615676800633697
0.5,0.3,38,0.615676800633697
0.5,0.3,39,0.615676800633697
0.5,0.3,40,0.615676800633697
0.5,0.3,41,0.615676800633697
0.5,0.3,42,0.615676800633697
0.5,0.3,43,0.615676800633697
0.5,0.3,44,0.615676800633697
0.5,0.3,45,0.615676800633697
0.5,0.3,46,0.615676800633697
0.5,0.3,47,0.615676800633697
0.5,0.3,48,0.615676800633697
0.5,0.3,49,0.615676800633697
0.5,0.3,50,0.615676800633697
0.5,0.3,51,0.615676800633697
0.5,0.3,52,0.615676800633697
0.5,0.3,53,0.615676800633697
0.5,0.3,54,0.615676800633697
0.5,0.3,55,0.615676800633697
0.5,0.3,56,0.615676800633697
0.5,0.3,57,0.615676800633697
0.5,0.3,58,0.615676800633697
0.5,0.3,59,0.615676800633697
0.5,0.3,60,0.615676800633697
0.5,0.3,61,0.615676800633697
0.5,0.5,1,0.5178586947136931
0.5,0.5,2,0.5181771430673241
0.5,0.5,3,0.5181771430673241
0.5,0.5,4,0.5182249554263678
0.5,0.5,5,0.5184171069825249
0.5,0.5,6,0.5184171069825249
0.5,0.5,7,0.5194004073396327
0.5,0.5,8,0.5194004073396327
0.5,0.5,9,0.5198437693695375
0.5,0.5,10,0.5198437693695375
0.5,0.5,11,0.5198437693695375
0.5,0.5,12,0.5198437693695375
0.5,0.5,13,0.5198437693695375
0.5,0.5,14,0.5198437693695375
0.5,0.5,15,0.5198437693695375
0.5,0.5,16,0.5199930670587083
0.5,0.5,17,0.520219618939089
0.5,0.5,18,0.520219618939089
0.5,0.5,19,0.520219618939089
0.5,0.5,20,0.520219618939089
0.5,0.5,21,0.520219618939089
0.5,0.5,22,0.520219618939089
0.5,0.5,23,0.520219618939089
0.5,0.5,24,0.520219618939089
0.5,0.5,25,0.520219618939089
0.5,0.5,26,0.520219618939089
0.5,0.5,27,0.520219618939089
0.5,0.5,28,0.520219618939089
0.5,0.5,29,0.520219618939089
0.5,0.5,30,0.520219618939089
0.5,0.5,31,0.520219618939089
0.5,0.5,32,0.520219618939089
0.5,0.5,33,0.520219618939089
0.5,0.5,34,0.5202323058443902
0.5,0.5,35,0.5203186221108154
0.5,0.5,36,0.5203186221108154
0.5,0.5,37,0.5203394648838102
0.5,0.5,38,0.5203394648838102
0.5,0.5,39,0.5203394648838102
0.5,0.5,40,0.5203632528312503
0.5,0.5,41,0.5203632528312503
0.5,0.5,42,0.5203632528312503
0.5,0.5,43,0.5203632528312503
0.5,0.5,44,0.5203632528312503
0.5,0.5,45,0.5203632528312503
0.5,0.5,46,0.5203632528312503
0.5,0.5,47,0.5203632528312503
0.5,0.5,48,0.5203632528312503
0.5,0.5,49,0.5203632528312503
0.5,0.5,50,0.5203632528312503
0.5,0.5,51,0.5203632528312503
0.5,0.5,52,0.5203632528312503
0.5,0.5,53,0.5203632528312503
0.5,0.5,54,0.5203632528312503
0.5,0.5,55,0.5203632528312503
0.5,0.5,56,0.5203632528312503
0.5,0.5,57,0.5203632528312503
0.5,0.5,58,0.5203632528312503
0.5,0.5,59,0.5203632528312503
0.5,0.5,60,0.5203632528312503
0.5,0.5,61,0.5203632528312503
0.5,0.5,62,0.5203632528312503
0.5,0.5,63,0.5203632528312503
0.5,0.5,64,0.5203632528312503
0.5,0.5,65,0.5203632528312503
0.5,0.5,66,0.5203632528312503
0.5,0.5,67,0.5203632528312503
0.5,0.5,68,0.5203632528312503
0.5,0.5,69,0.5203632528312503
0.5,0.5,70,0.5203632528312503
